session_id,song_id,time,score
0c99b607,t+pazolite - Dogbite_Hard,0.0,0
0c99b607,t+pazolite - Dogbite_Hard,2.003,0
0c99b607,t+pazolite - Dogbite_Hard,4.013,280
0c99b607,t+pazolite - Dogbite_Hard,6.018,280
0c99b607,t+pazolite - Dogbite_Hard,8.019,280
0c99b607,t+pazolite - Dogbite_Hard,10.02,560
0c99b607,t+pazolite - Dogbite_Hard,12.033,1176
0c99b607,t+pazolite - Dogbite_Hard,14.04,1615
0c99b607,t+pazolite - Dogbite_Hard,16.055,1802
0c99b607,t+pazolite - Dogbite_Hard,18.057,2260
0c99b607,t+pazolite - Dogbite_Hard,20.062,2297
0c99b607,t+pazolite - Dogbite_Hard,22.063,3166
0c99b607,t+pazolite - Dogbite_Hard,24.07,5202
0c99b607,t+pazolite - Dogbite_Hard,26.071,7219
0c99b607,t+pazolite - Dogbite_Hard,28.078,9227
0c99b607,t+pazolite - Dogbite_Hard,30.087,10964
0c99b607,t+pazolite - Dogbite_Hard,32.094,12692
0c99b607,t+pazolite - Dogbite_Hard,34.107,14355
0c99b607,t+pazolite - Dogbite_Hard,36.117,15756
0c99b607,t+pazolite - Dogbite_Hard,38.13,17670
0c99b607,t+pazolite - Dogbite_Hard,40.14,19846
0c99b607,t+pazolite - Dogbite_Hard,42.154,21294
0c99b607,t+pazolite - Dogbite_Hard,44.155,23237
0c99b607,t+pazolite - Dogbite_Hard,46.168,23909
0c99b607,t+pazolite - Dogbite_Hard,48.169,25992
0c99b607,t+pazolite - Dogbite_Hard,50.172,26758
0c99b607,t+pazolite - Dogbite_Hard,52.177,27766
0c99b607,t+pazolite - Dogbite_Hard,54.184,30512
0c99b607,t+pazolite - Dogbite_Hard,56.195,33118
0c99b607,t+pazolite - Dogbite_Hard,58.203,34724
0c99b607,t+pazolite - Dogbite_Hard,60.204,36760
0c99b607,t+pazolite - Dogbite_Hard,62.21,38881
0c99b607,t+pazolite - Dogbite_Hard,64.214,40543
0c99b607,t+pazolite - Dogbite_Hard,66.223,42215
0c99b607,t+pazolite - Dogbite_Hard,68.231,43504
0c99b607,t+pazolite - Dogbite_Hard,70.247,43887
0c99b607,t+pazolite - Dogbite_Hard,72.249,45054
0c99b607,t+pazolite - Dogbite_Hard,74.258,46203
0c99b607,t+pazolite - Dogbite_Hard,76.262,46483
0c99b607,t+pazolite - Dogbite_Hard,78.272,47100
0c99b607,t+pazolite - Dogbite_Hard,80.278,47660
0c99b607,t+pazolite - Dogbite_Hard,82.284,49266
0c99b607,t+pazolite - Dogbite_Hard,84.285,50247
0c99b607,t+pazolite - Dogbite_Hard,86.297,50957
0c99b607,t+pazolite - Dogbite_Hard,88.301,51536
0c99b607,t+pazolite - Dogbite_Hard,90.31,52096
0c99b607,t+pazolite - Dogbite_Hard,92.325,53404
0c99b607,t+pazolite - Dogbite_Hard,94.333,54198
0c99b607,t+pazolite - Dogbite_Hard,96.337,54973
0c99b607,t+pazolite - Dogbite_Hard,98.352,56710
0c99b607,t+pazolite - Dogbite_Hard,100.364,58531
0c99b607,t+pazolite - Dogbite_Hard,102.371,60147
0c99b607,t+pazolite - Dogbite_Hard,104.385,62351
0c99b607,t+pazolite - Dogbite_Hard,106.394,64359
0c99b607,t+pazolite - Dogbite_Hard,108.395,67311
0c99b607,t+pazolite - Dogbite_Hard,110.397,68758
0c99b607,t+pazolite - Dogbite_Hard,112.411,70766
0c99b607,t+pazolite - Dogbite_Hard,114.416,73409
0c99b607,t+pazolite - Dogbite_Hard,116.425,75119
0c99b607,t+pazolite - Dogbite_Hard,118.431,78313
0c99b607,t+pazolite - Dogbite_Hard,120.441,80274
0c99b607,t+pazolite - Dogbite_Hard,122.444,80274
